rank_cohens_d,feature,in_model,n_fraud,n_legit,mean_fraud,mean_legit,median_fraud,median_legit,u_statistic,p_value,p_adjusted,significant,cohens_d,abs_cohens_d,effect_size,cliffs_delta,abs_cliffs_delta,cliff_size,pearson_r,rank_cliffs_delta,rank_pearson
11,V1,True,473,283253,-4.498280129044758,0.013438642328427682,-2.27175453696818,0.0225615374283257,28197486.0,2.570801236736305e-105,6.427003091840762e-105,True,-2.3264502947522665,2.3264502947522665,lớn,-0.5790749943933239,0.5790749943933239,lớn,-0.09448583378656782,12,11
12,V9,True,473,283253,-2.5221241496636746,0.002612792764503291,-2.09904890456221,-0.0513682299438331,21264298.0,1.4836338386706985e-145,4.945446128902328e-145,True,-2.3149098631931073,2.3149098631931073,lớn,-0.6825718876189164,0.6825718876189164,lớn,-0.09402128731255542,9,12
13,V5,True,473,283253,-2.957196758790482,0.006768791107379448,-1.37224488981369,-0.0528068243875719,40179560.0,2.8300422665548195e-51,4.99419223509674e-51,True,-2.1608108491592732,2.1608108491592732,lớn,-0.40020959605144313,0.40020959605144313,trung bình,-0.08781244297489789,17,13
14,V2,True,473,283253,3.405964681895525,-0.00982923029899433,2.61710490740972,0.0625611368314136,113855524.0,8.27456173131813e-153,3.546240741993484e-152,True,2.081786933562669,2.081786933562669,lớn,0.6996067336659391,0.6996067336659391,lớn,0.08462444869117311,7,14
15,V6,True,473,283253,-1.432517862629184,0.0012507494109572105,-1.42046761821774,-0.274171945678622,30983681.0,5.34406218307445e-91,1.233245119171027e-90,True,-1.077496568880256,1.077496568880256,lớn,-0.5374833735659816,0.5374833735659816,lớn,-0.04391540923808697,13,15
16,V19,True,473,283253,0.6691429926717859,-0.0013820968751123582,0.647708880496559,0.0027369562235966,87947406.0,5.230052864806167e-32,7.84507929720925e-32,True,0.8248354064315784,0.8248354064315784,lớn,0.3128568399197935,0.3128568399197935,nhỏ,0.03363115444222965,20,16
17,V8,True,473,283253,0.9532545908983874,-0.0024477051694095334,0.617737791926574,0.0216333511326536,88742548.0,2.3688203485976863e-34,3.9480339143294775e-34,True,0.8110088431393093,0.8110088431393093,lớn,0.3247265204582679,0.3247265204582679,nhỏ,0.03306802333281754,18,17
18,V21,True,473,283253,0.46655032190048024,-0.0011502974611994898,0.573898081112651,-0.0297983578228729,99578153.0,6.872462725487791e-75,1.4726705840330982e-74,True,0.6462996062682558,0.6462996062682558,trung bình,0.48647771683714813,0.48647771683714813,lớn,0.02635743889706768,14,18
19,V27,True,473,283253,0.21377375073690713,0.0014089980496590946,0.394681955439504,0.0013681733904365,94018959.0,4.3340451151499335e-52,8.126334590906126e-52,True,0.5367493885418417,0.5367493885418417,trung bình,0.4034914617639618,0.4034914617639618,trung bình,0.02189211330695985,16,19
20,V20,True,473,283253,0.40504283092810434,-0.0004888872308814452,0.285558785827713,-0.0625073415999218,87983679.0,4.106314628603238e-32,6.483654676741956e-32,True,0.5267960347820766,0.5267960347820766,trung bình,0.3133983141749228,0.3133983141749228,nhỏ,0.021486340321009812,19,20
